1713304	MegaSoft	2.00
1713601	MegaSoft	2.00
1713700	MegaSoft	2.00
1713809	MegaSoft	2.00
1713957	MegaSoft	2.00
1714203	MegaSoft	2.00
1714302	MegaSoft	2.00
1714880	MegaSoft	2.00
1715002	PadraoNacional	
1715101	MegaSoft	2.00
1715259	MegaSoft	2.00
1715705	MegaSoft	2.00
1715754	PadraoNacional	
1716109	WebISS	2.02
1716307	MegaSoft	2.00
1716505	PadraoNacional	
1716604	MegaSoft	2.00
1716653	MegaSoft	2.00
1716703	MegaSoft	2.00
1717008	Centi	2.02
1717206	MegaSoft	2.00
1717909	MegaSoft	2.00
1718006	MegaSoft	2.00
1718204	WebISS	2.02
1718303	MegaSoft	2.00
1718402	PadraoNacional	
1718501	PadraoNacional	
1718550	Fiorilli	2.00
1718659	PadraoNacional	
1718840	PadraoNacional	
1718865	MegaSoft	2.00
1718881	MegaSoft	2.00
1718899	PadraoNacional	
1719004	PadraoNacional	
1720002	PadraoNacional	
1720150	MegaSoft	2.00
1720259	MegaSoft	2.00
1720309	MegaSoft	2.00
1720499	PadraoNacional	
1720655	PadraoNacional	
1720903	MegaSoft	2.00
1720937	MegaSoft	2.00
1720978	Fiorilli	2.00
1721000	WebISS	2.02
1721109	MegaSoft	2.00
1721208	MegaSoft	2.00
1721307	PadraoNacional	
1722081	PadraoNacional	
1722107	PadraoNacional	
2100055	SpeedGov	1.00
2100204	Fiorilli	2.00
2100303	Fiorilli	2.00
2100402	PadraoNacional	
2100436	PadraoNacional	
2100477	PadraoNacional	
2100501	Fiorilli	2.00
2100600	Fiorilli	2.00
2100709	Fiorilli	2.00
2100873	PadraoNacional	
2100956	PadraoNacional	
2101004	PadraoNacional	
2101103	PadraoNacional	
2101202	SigCorp	2.04
2101400	PadraoNacional	
2101608	PadraoNacional	
2101731	PadraoNacional	
2101772	Fiorilli	2.00
2101806	PadraoNacional	
2101905	PadraoNacional	
2101970	PadraoNacional	
2102036	PadraoNacional	
2102077	Aspec	
2102309	Fiorilli	2.00
2102358	MegaSoft	2.00
2102408	Fiorilli	2.00
2102556	Fiorilli	2.00
2102754	Fiorilli	2.00
2102804	Fiorilli	2.00
2102903	PadraoNacional	
2103000	PadraoNacional	
2103109	PadraoNacional	
2103158	PadraoNacional	
2103257	Fiorilli	2.00
2103307	Fiorilli	2.00
2103406	Fiorilli	2.00
2103604	PadraoNacional	
2103703	Fiorilli	2.00
2103802	Fiorilli	2.00
2104008	PadraoNacional	
2104057	TaxTecnologia	2.04
2104099	Fiorilli	
2104552	Fiorilli	2.00
2104651	Fiorilli	2.00
2104677	PadraoNacional	
2104701	PadraoNacional	
2104800	SpeedGov	1.00
2105005	Fiorilli	2.00
2105153	Fiorilli	2.00
2105302	PadraoNacional	
2105401	SigCorp	2.04
2105427	Fiorilli	2.00
2105708	PadraoNacional	
2105948	PadraoNacional	
2106326	Fiorilli	2.00
2106375	PadraoNacional	
2106508	Fiorilli	2.00
2106607	Fiorilli	2.00
2106631	Fiorilli	2.00
2106706	Fiorilli	2.00
2106755	PadraoNacional	
2107001	MegaSoft	2.00
2107100	Fiorilli	2.00
2107357	PadraoNacional	
2107407	Tributus	2.04
2107506	PadraoNacional	
2107704	PadraoNacional	
2107803	Fiorilli	2.00
2107902	PadraoNacional	
2108009	Fiorilli	2.00
2108207	Fiorilli	2.00
2108306	PadraoNacional	
2108454	Fiorilli	2.00
2108603	PadraoNacional	
2108702	Fiorilli	2.00
2108900	CTAConsult	
2109056	PadraoNacional	
2109106	CTAConsult	
2109205	Fiorilli	2.00
2109304	Fiorilli	2.00
2109403	Aspec	
2109452	Bauhaus	
2109601	Fiorilli	2.00
2109700	PadraoNacional	
2109809	Fiorilli	2.00
2110005	WebISS	
2110039	Fiorilli	2.00
2110278	Fiorilli	2.00
2110302	CTAConsult	
2110401	PadraoNacional	
2110500	PadraoNacional	
2110658	Fiorilli	2.00
2110807	PadraoNacional	
2110856	PadraoNacional	
2111029	Fiorilli	2.00
2111078	PadraoNacional	
2111102	Fiorilli	2.00
2111201	PadraoNacional	
2111300	PadraoNacional	
2111409	Fiorilli	2.00
2111508	CTAConsult	
2111573	XTRTecnologia	
2111607	MegaSoft	2.00
2111631	PadraoNacional	
2111672	PadraoNacional	
2111763	PadraoNacional	
2111805	Fiorilli	2.00
2111953	PadraoNacional	
2112001	PadraoNacional	
2112100	Fiorilli	2.00
2112209	PadraoNacional	
2112233	Aspec	
2112407	Bauhaus	
2112456	PadraoNacional	
2112506	PadraoNacional	
2112704	PadraoNacional	
2112803	Fiorilli	2.00
2112852	PadraoNacional	
2112902	Fiorilli	2.00
2114007	PadraoNacional	
2200053	Fiorilli	2.00
2200103	Fiorilli	2.00
2200251	Fiorilli	2.00
2200277	PadraoNacional	
2200301	PadraoNacional	
2200400	Fisco	2.03
2200459	PadraoNacional	
2200905	PadraoNacional	
2201101	PadraoNacional	
2201150	Fiorilli	2.00
2201176	PadraoNacional	
2201200	PadraoNacional	
2201507	PadraoNacional	
2201556	PadraoNacional	
2201572	Fiorilli	2.00
2201606	PadraoNacional	
2201705	PadraoNacional	
2201739	Fiorilli	2.00
2201770	PadraoNacional	
2201903	Fisco	2.03
2201919	Fiorilli	2.00
2201929	PadraoNacional	
2201945	PadraoNacional	
2201960	PadraoNacional	
2202000	Fisco	2.03
2202059	PadraoNacional	
2202083	SpeedGov	1.00
2202091	Fiorilli	2.00
2202117	Fiorilli	2.00
2202133	PadraoNacional	
2202208	PadraoNacional	
2202251	PadraoNacional	
2202307	PadraoNacional	
2202406	PadraoNacional	
2202455	Fiorilli	2.00
2202505	Fiorilli	2.00
2202539	PadraoNacional	
2202554	PadraoNacional	
2202653	PadraoNacional	
2202703	PadraoNacional	
